'Timestamp UTC','DateTime UTC','Main Quantity','Main L [uH]','Main C [uF]','Main R [Ohm]','Main Overload [bool]','Sec Quantity','Sec L [uH]','Sec C [uF]','Sec R [Ohm]','Sec D','Sec Q','Sec Theta [degree]','Sec Delta [%]','Sec Overload [bool]','Freq [Hz]','Tolerance','Sorting Passed [bool]','Sorting Reference','Delta Reference','is Delta Mode [bool]','is Sorting Mode [bool]','is LCR Auto Mode [bool]','is Auto Range Mode [bool]'
'1651591738.566955','2022-05-03 15:28:58.566955','Cs',,'96.820000000',,'false','D',,,,'0.075500000',,,,'false',100,,,,,'false','false','false','false'
'1651591746.095017','2022-05-03 15:29:06.095017','Cs',,'96.200000000',,'false','D',,,,'0.079500000',,,,'false',120,,,,,'false','false','false','false'
'1651591750.138447','2022-05-03 15:29:10.138447','Cs',,'88.060000000',,'false','D',,,,'0.256700000',,,,'false',1000,,,,,'false','false','false','false'
'1651591757.649217','2022-05-03 15:29:17.649217','Cs',,'78.510000000',,'false','D',,,,'1.774800000',,,,'false',10000,,,,,'false','false','false','false'
'1651591760.663330','2022-05-03 15:29:20.663330','Cs',,'78.710000000',,'false','D',,,,'1.778000000',,,,'false',10000,,,,,'false','false','false','false'
'1651591771.216964','2022-05-03 15:29:31.216964','Cs',,,,'true',,,,,,,,,,100000,,,,,'false','false','false','false'
'1651591782.264381','2022-05-03 15:29:42.264381','Rs',,,'1.230000000','false',,,,,,,,,,100,,,,,'false','false','false','false'
'1651591786.785382','2022-05-03 15:29:46.785382','Rs',,,'1.100000000','false',,,,,,,,,,120,,,,,'false','false','false','false'
'1651591794.320440','2022-05-03 15:29:54.320440','Rs',,,'0.462000000','false',,,,,,,,,,1000,,,,,'false','false','false','false'
'1651591800.349139','2022-05-03 15:30:00.349139','Rs',,,'0.359000000','false',,,,,,,,,,10000,,,,,'false','false','false','false'
'1651591809.391705','2022-05-03 15:30:09.391705','Rs',,,'0.341000000','false',,,,,,,,,,100000,,,,,'false','false','false','false'
